year,student_group,school_name,data_level,tenth-twelfth_grade_count,sum_ap,sum_de,perc_ap,perc_de
2019,All Students,Albemarle High,All,1484,644,400,43.4,26.95
2019,All Students,Monticello High,All,845,471,165,55.74,19.53
2019,All Students,Western Albemarle High,All,894,542,307,60.63,34.34
2019,American Indian or Alaska Native,Albemarle High,Race,1,0,0,0,0
2019,American Indian or Alaska Native,Monticello High,Race,1,0,0,0,0
2019,American Indian or Alaska Native,Western Albemarle High,Race,1,0,0,0,0
2019,Asian,Albemarle High,Race,128,86,41,67.19,32.03
2019,Asian,Monticello High,Race,22,22,4,100,18.18
2019,Asian,Western Albemarle High,Race,18,14,8,77.78,44.44
2019,Black,Albemarle High,Race,219,34,40,15.53,18.26
2019,Black,Monticello High,Race,98,24,23,24.49,23.47
2019,Black,Western Albemarle High,Race,18,9,4,50,22.22
2019,Economically Advantaged,Albemarle High,Economic Advantage,1078,552,327,51.21,30.33
2019,Economically Advantaged,Monticello High,Economic Advantage,612,414,137,67.65,22.39
2019,Economically Advantaged,Western Albemarle High,Economic Advantage,804,512,284,63.68,35.32
2019,Economically Disadvantaged,Albemarle High,Economic Advantage,406,92,73,22.66,17.98
2019,Economically Disadvantaged,Monticello High,Economic Advantage,233,57,28,24.46,12.02
2019,Economically Disadvantaged,Western Albemarle High,Economic Advantage,90,30,23,33.33,25.56
2019,Hispanic,Albemarle High,Race,220,46,36,20.91,16.36
2019,Hispanic,Monticello High,Race,136,37,9,27.21,6.62
2019,Hispanic,Western Albemarle High,Race,39,16,14,41.03,35.9
2019,Multiracial,Albemarle High,Race,89,31,19,34.83,21.35
2019,Multiracial,Monticello High,Race,55,41,17,74.55,30.91
2019,Multiracial,Western Albemarle High,Race,31,20,11,64.52,35.48
2019,Native Hawaiian  or Pacific Islander,Albemarle High,Race,NA,0,0,NA,NA
2019,Native Hawaiian  or Pacific Islander,Monticello High,Race,NA,0,0,NA,NA
2019,Native Hawaiian  or Pacific Islander,Western Albemarle High,Race,1,0,0,0,0
2019,White,Albemarle High,Race,827,447,262,54.05,31.68
2019,White,Monticello High,Race,533,347,108,65.1,20.26
2019,White,Western Albemarle High,Race,786,483,269,61.45,34.22
2020,All Students,Albemarle High,All,1437,674,437,46.9,30.41
2020,All Students,Monticello High,All,894,484,168,54.14,18.79
2020,All Students,Western Albemarle High,All,877,559,248,63.74,28.28
2020,American Indian or Alaska Native,Albemarle High,Race,2,0,0,0,0
2020,American Indian or Alaska Native,Monticello High,Race,1,0,0,0,0
2020,American Indian or Alaska Native,Western Albemarle High,Race,1,0,0,0,0
2020,Asian,Albemarle High,Race,120,87,52,72.5,43.33
2020,Asian,Monticello High,Race,28,25,3,89.29,10.71
2020,Asian,Western Albemarle High,Race,27,18,7,66.67,25.93
2020,Black,Albemarle High,Race,232,42,41,18.1,17.67
2020,Black,Monticello High,Race,111,29,26,26.13,23.42
2020,Black,Western Albemarle High,Race,15,7,5,46.67,33.33
