"","year","feeder_pattern","race","fp_count","total_count","fp_percent"
"1","2010-2011","Northern","American Indian",26,5611,0.5
"2","2010-2011","Northern","Asian",351,5611,6.3
"3","2010-2011","Northern","Black",868,5611,15.5
"4","2010-2011","Northern","Hispanic",565,5611,10.1
"5","2010-2011","Northern","Pacific Islander",2,5611,0
"6","2010-2011","Northern","Multiracial",321,5611,5.7
"7","2010-2011","Northern","White",3478,5611,62
"8","2010-2011","Southern","American Indian",13,3995,0.3
"9","2010-2011","Southern","Asian",89,3995,2.2
"10","2010-2011","Southern","Black",554,3995,13.9
"11","2010-2011","Southern","Hispanic",429,3995,10.7
"12","2010-2011","Southern","Pacific Islander",7,3995,0.2
"13","2010-2011","Southern","Multiracial",176,3995,4.4
"14","2010-2011","Southern","White",2727,3995,68.3
"15","2010-2011","Western","American Indian",3,3474,0.1
"16","2010-2011","Western","Asian",118,3474,3.4
"17","2010-2011","Western","Black",113,3474,3.3
"18","2010-2011","Western","Hispanic",151,3474,4.3
"19","2010-2011","Western","Pacific Islander",4,3474,0.1
"20","2010-2011","Western","Multiracial",127,3474,3.7
"21","2010-2011","Western","White",2958,3474,85.1
"22","2011-2012","Northern","American Indian",28,5577,0.5
"23","2011-2012","Northern","Asian",383,5577,6.9
"24","2011-2012","Northern","Black",863,5577,15.5
"25","2011-2012","Northern","Hispanic",592,5577,10.6
"26","2011-2012","Northern","Pacific Islander",2,5577,0
"27","2011-2012","Northern","Multiracial",326,5577,5.8
"28","2011-2012","Northern","White",3383,5577,60.7
"29","2011-2012","Southern","American Indian",11,3891,0.3
"30","2011-2012","Southern","Asian",97,3891,2.5
"31","2011-2012","Southern","Black",515,3891,13.2
"32","2011-2012","Southern","Hispanic",431,3891,11.1
"33","2011-2012","Southern","Pacific Islander",6,3891,0.2
"34","2011-2012","Southern","Multiracial",195,3891,5
"35","2011-2012","Southern","White",2636,3891,67.7
"36","2011-2012","Western","American Indian",4,3499,0.1
"37","2011-2012","Western","Asian",113,3499,3.2
"38","2011-2012","Western","Black",113,3499,3.2
"39","2011-2012","Western","Hispanic",152,3499,4.3
"40","2011-2012","Western","Pacific Islander",1,3499,0
"41","2011-2012","Western","Multiracial",125,3499,3.6
"42","2011-2012","Western","White",2991,3499,85.5
"43","2012-2013","Northern","American Indian",21,5661,0.4
"44","2012-2013","Northern","Asian",394,5661,7
"45","2012-2013","Northern","Black",842,5661,14.9
"46","2012-2013","Northern","Hispanic",606,5661,10.7
"47","2012-2013","Northern","Pacific Islander",1,5661,0
"48","2012-2013","Northern","Multiracial",349,5661,6.2
"49","2012-2013","Northern","White",3448,5661,60.9
"50","2012-2013","Southern","American Indian",7,3932,0.2
"51","2012-2013","Southern","Asian",101,3932,2.6
"52","2012-2013","Southern","Black",489,3932,12.4
"53","2012-2013","Southern","Hispanic",484,3932,12.3
"54","2012-2013","Southern","Pacific Islander",2,3932,0.1
"55","2012-2013","Southern","Multiracial",203,3932,5.2
"56","2012-2013","Southern","White",2646,3932,67.3
"57","2012-2013","Western","American Indian",3,3551,0.1
"58","2012-2013","Western","Asian",106,3551,3
"59","2012-2013","Western","Black",124,3551,3.5
"60","2012-2013","Western","Hispanic",148,3551,4.2
"61","2012-2013","Western","Pacific Islander",2,3551,0.1
"62","2012-2013","Western","Multiracial",121,3551,3.4
"63","2012-2013","Western","White",3047,3551,85.8
"64","2013-2014","Northern","American Indian",18,5921,0.3
"65","2013-2014","Northern","Asian",439,5921,7.4
"66","2013-2014","Northern","Black",925,5921,15.6
"67","2013-2014","Northern","Hispanic",694,5921,11.7
"68","2013-2014","Northern","Pacific Islander",4,5921,0.1
"69","2013-2014","Northern","Multiracial",357,5921,6
"70","2013-2014","Northern","White",3484,5921,58.8
"71","2013-2014","Southern","American Indian",13,3842,0.3
"72","2013-2014","Southern","Asian",100,3842,2.6
"73","2013-2014","Southern","Black",491,3842,12.8
"74","2013-2014","Southern","Hispanic",500,3842,13
"75","2013-2014","Southern","Pacific Islander",1,3842,0
"76","2013-2014","Southern","Multiracial",210,3842,5.5
"77","2013-2014","Southern","White",2527,3842,65.8
"78","2013-2014","Western","American Indian",5,3518,0.1
"79","2013-2014","Western","Asian",103,3518,2.9
"80","2013-2014","Western","Black",116,3518,3.3
"81","2013-2014","Western","Hispanic",154,3518,4.4
"82","2013-2014","Western","Pacific Islander",2,3518,0.1
"83","2013-2014","Western","Multiracial",125,3518,3.6
"84","2013-2014","Western","White",3013,3518,85.6
"85","2014-2015","Northern","American Indian",19,6046,0.3
"86","2014-2015","Northern","Asian",458,6046,7.6
"87","2014-2015","Northern","Black",926,6046,15.3
"88","2014-2015","Northern","Hispanic",750,6046,12.4
"89","2014-2015","Northern","Pacific Islander",4,6046,0.1
"90","2014-2015","Northern","Multiracial",375,6046,6.2
"91","2014-2015","Northern","White",3514,6046,58.1
"92","2014-2015","Southern","American Indian",4,3872,0.1
"93","2014-2015","Southern","Asian",109,3872,2.8
"94","2014-2015","Southern","Black",462,3872,11.9
"95","2014-2015","Southern","Hispanic",547,3872,14.1
"96","2014-2015","Southern","Pacific Islander",3,3872,0.1
"97","2014-2015","Southern","Multiracial",227,3872,5.9
"98","2014-2015","Southern","White",2520,3872,65.1
"99","2014-2015","Western","American Indian",4,3622,0.1
"100","2014-2015","Western","Asian",101,3622,2.8
"101","2014-2015","Western","Black",110,3622,3
"102","2014-2015","Western","Hispanic",149,3622,4.1
"103","2014-2015","Western","Pacific Islander",2,3622,0.1
"104","2014-2015","Western","Multiracial",140,3622,3.9
"105","2014-2015","Western","White",3116,3622,86
"106","2015-2016","Northern","American Indian",16,6049,0.3
"107","2015-2016","Northern","Asian",435,6049,7.2
"108","2015-2016","Northern","Black",973,6049,16.1
"109","2015-2016","Northern","Hispanic",835,6049,13.8
"110","2015-2016","Northern","Pacific Islander",6,6049,0.1
"111","2015-2016","Northern","Multiracial",381,6049,6.3
"112","2015-2016","Northern","White",3403,6049,56.3
"113","2015-2016","Southern","American Indian",7,3908,0.2
"114","2015-2016","Southern","Asian",110,3908,2.8
"115","2015-2016","Southern","Black",482,3908,12.3
"116","2015-2016","Southern","Hispanic",612,3908,15.7
"117","2015-2016","Southern","Pacific Islander",3,3908,0.1
